"lat","lon","vals","standard_name","long_name","units"
-60.375,-68.875,381995273.1949075,,,
-60.375,-68.625,381995273.1949094,,,
-60.375,-68.375,381995273.19491476,,,
-60.375,-68.125,381995273.1949051,,,
-60.375,-67.875,381995273.1949254,,,
-60.375,-67.625,381995273.1949118,,,
-60.375,-67.375,381995273.1949083,,,
-60.375,-67.125,381995273.1949085,,,
-60.375,-66.875,381995273.1949281,,,
-60.375,-66.625,381995273.19491035,,,
-60.375,-66.375,381995273.1949102,,,
-60.375,-66.125,381995273.1949152,,,
-60.375,-65.875,381995273.19490623,,,
-60.375,-65.625,381995273.19492805,,,
-60.375,-65.375,381995273.19491094,,,
-60.375,-65.125,381995273.1949069,,,
-60.375,-64.875,381995273.1949079,,,
-60.375,-64.625,381995273.19492745,,,
-60.375,-64.375,381995273.19490445,,,
-60.375,-64.125,381995273.19490784,,,
-60.375,-63.875,381995273.1949082,,,
-60.375,-63.625,381995273.1949082,,,
-60.375,-63.375,381995273.19493175,,,
-60.375,-63.125,381995273.19491214,,,
-60.375,-62.875,381995273.1949057,,,
-60.375,-62.625,381995273.1949115,,,
-60.375,-62.375,381995273.1949355,,,
-60.375,-62.125,381995273.194905,,,
-60.375,-61.875,381995273.194906,,,
-60.375,-61.625,381995273.1949134,,,
-60.375,-61.375,381995273.1949094,,,
-60.375,-61.125,381995273.19493103,,,
-60.375,-60.875,381995273.1949084,,,
-60.375,-60.625,381995273.19490874,,,
-60.375,-60.375,381995273.19491094,,,
-60.375,-60.125,381995273.19493,,,
-60.375,-59.875,381995273.1949058,,,
-60.375,-59.625,381995273.19491655,,,
-60.375,-59.375,381995273.19490355,,,
-60.375,-59.125,381995273.1949068,,,
-60.375,-58.875,381995273.19493484,,,
-60.375,-58.625,381995273.1949115,,,
-60.375,-58.375,381995273.19491243,,,
-60.375,-58.125,381995273.1949053,,,
-60.375,-57.875,381995273.1949246,,,
-60.375,-57.625,381995273.19490606,,,
-60.375,-57.375,381995273.19491494,,,
-60.375,-57.125,381995273.19491327,,,
-60.375,-56.875,381995273.1949239,,,
-60.375,-56.625,381995273.1949032,,,
-60.375,-56.375,381995273.1949184,,,
-60.375,-56.125,381995273.1949064,,,
-60.375,-55.875,381995273.19492185,,,
-60.375,-55.625,381995273.19491506,,,
-60.375,-55.375,381995273.1949209,,,
-60.375,-55.125,381995273.19490707,,,
-60.375,-54.875,381995273.19490665,,,
-60.375,-54.625,381995273.19491494,,,
-60.375,-54.375,381995273.1949139,,,
-60.375,-54.125,381995273.194916,,,
-60.375,-53.875,381995273.1949068,,,
-60.375,-53.625,381995273.1949278,,,
-60.375,-53.375,381995273.19490445,,,
-60.375,-53.125,381995273.19492066,,,
-60.375,-52.875,381995273.1949098,,,
-60.375,-52.625,381995273.19492054,,,
-60.375,-52.375,381995273.19492155,,,
-60.375,-52.125,381995273.1949081,,,
-60.375,-51.875,381995273.1949159,,,
-60.375,-51.625,381995273.1949085,,,
-60.375,-51.375,381995273.19491535,,,
-60.375,-51.125,381995273.1949133,,,
-60.375,-50.875,381995273.1949165,,,
-60.375,-50.625,381995273.19490063,,,
-60.375,-50.375,381995273.1949058,,,
-60.375,-50.125,381995273.19492924,,,
-60.625,-69.875,379060574.28049594,,,
-60.625,-69.625,379060574.28049856,,,
-60.625,-69.375,379060574.2805003,,,
-60.625,-69.125,379060574.28051674,,,
-60.625,-68.875,379060574.2804973,,,
-60.625,-68.625,379060574.2805026,,,
-60.625,-68.375,379060574.28049767,,,
-60.625,-68.125,379060574.2805,,,
-60.625,-67.875,379060574.2805119,,,
-60.625,-67.625,379060574.28050065,,,
-60.625,-67.375,379060574.2804993,,,
-60.625,-67.125,379060574.28049815,,,
-60.625,-66.875,379060574.28052115,,,
-60.625,-66.625,379060574.28049624,,,
-60.625,-66.375,379060574.28049695,,,
-60.625,-66.125,379060574.2805022,,,
-60.625,-65.875,379060574.28049266,,,
-60.625,-65.625,379060574.28051305,,,
-60.625,-65.375,379060574.2805037,,,
-60.625,-65.125,379060574.2804993,,,
-60.625,-64.875,379060574.28049886,,,
-60.625,-64.625,379060574.28051734,,,
-60.625,-64.375,379060574.2804949,,,
-60.625,-64.125,379060574.2805019,,,
-60.625,-63.875,379060574.2804961,,,
-60.625,-63.625,379060574.2805007,,,
-60.625,-63.375,379060574.2805225,,,
-60.625,-63.125,379060574.28049994,,,
-60.625,-62.875,379060574.28049767,,,
-60.625,-62.625,379060574.28050476,,,
-60.625,-62.375,379060574.2805207,,,
-60.625,-62.125,379060574.28050053,,,
-60.625,-61.875,379060574.28049594,,,
-60.625,-61.625,379060574.2805032,,,
-60.625,-61.375,379060574.28049314,,,
-60.625,-61.125,379060574.2805181,,,
-60.625,-60.875,379060574.2804971,,,
-60.625,-60.625,379060574.2804954,,,
-60.625,-60.375,379060574.2805025,,,
-60.625,-60.125,379060574.28052086,,,
-60.625,-59.875,379060574.2804979,,,
-60.625,-59.625,379060574.2805057,,,
-60.625,-59.375,379060574.28049564,,,
-60.625,-59.125,379060574.28049886,,,
-60.625,-58.875,379060574.2805239,,,
-60.625,-58.625,379060574.2804976,,,
-60.625,-58.375,379060574.2805031,,,
-60.625,-58.125,379060574.2804873,,,
-60.625,-57.875,379060574.2805177,,,
-60.625,-57.625,379060574.2804938,,,
-60.625,-57.375,379060574.28050065,,,
-60.625,-57.125,379060574.2804999,,,
-60.625,-56.875,379060574.2805151,,,
-60.625,-56.625,379060574.2804956,,,
-60.625,-56.375,379060574.2805118,,,
-60.625,-56.125,379060574.28049415,,,
-60.625,-55.875,379060574.2805122,,,
-60.625,-55.625,379060574.2805016,,,
-60.625,-55.375,379060574.28051233,,,
-60.625,-55.125,379060574.280498,,,
-60.625,-54.875,379060574.28049964,,,
-60.625,-54.625,379060574.28050643,,,
-60.625,-54.375,379060574.2805041,,,
-60.625,-54.125,379060574.280506,,,
-60.625,-53.875,379060574.2804956,,,
-60.625,-53.625,379060574.2805133,,,
-60.625,-53.375,379060574.2804977,,,
-60.625,-53.125,379060574.2805137,,,
-60.625,-52.875,379060574.2804902,,,
-60.625,-52.625,379060574.28050613,,,
-60.625,-52.375,379060574.2805095,,,
-60.625,-52.125,379060574.2804979,,,
-60.625,-51.875,379060574.2805071,,,
-60.625,-51.625,379060574.2805056,,,
-60.625,-51.375,379060574.2805096,,,
-60.625,-51.125,379060574.2805058,,,
-60.625,-50.875,379060574.28050613,,,
-60.625,-50.625,379060574.28049445,,,
-60.625,-50.375,379060574.2804975,,,
-60.625,-50.125,379060574.2805166,,,
-60.875,-69.875,376118658.7391316,,,
-60.875,-69.625,376118658.739137,,,
-60.875,-69.375,376118658.7391361,,,
-60.875,-69.125,376118658.73914975,,,
-60.875,-68.875,376118658.7391327,,,
-60.875,-68.625,376118658.73913395,,,
-60.875,-68.375,376118658.73913157,,,
-60.875,-68.125,376118658.7391316,,,
-60.875,-67.875,376118658.7391471,,,
-60.875,-67.625,376118658.7391382,,,
-60.875,-67.375,376118658.73913264,,,
-60.875,-67.125,376118658.7391299,,,
-60.875,-66.875,376118658.73915184,,,
-60.875,-66.625,376118658.7391346,,,
