prey,predator,interaction
Blue Whale,Southern Elephant Seal,0
Blue Whale,Sperm Whale,0
Blue Whale,Blue Whale,0
Blue Whale,Fin Whale,0
Blue Whale,Minke Whale,0
Blue Whale,Humpback Whale,0
Blue Whale,Emperor Penguin,0
Blue Whale,Gentoo Penguin,0
Blue Whale,Chinstrap Penguin,0
Blue Whale,Adelie Penguin,0
Blue Whale,Macaroni Penguin,0
Blue Whale,Flying Birds,0
Blue Whale,Salps,0
Fin Whale,Cephalopods,0
Fin Whale,Myctophids,0
Fin Whale,On-shelf fish,0
Fin Whale,Notothenia rossii,0
Fin Whale,Champsocephalus gunnari,0
Fin Whale,Gobionotothen gibberifrons,0
Fin Whale,Antarctic Krill,0
Fin Whale,Other Euphausiids,0
Fin Whale,Killer Whale,0.01
Fin Whale,Leopard Seal,0
Fin Whale,Weddell Seal,0
Fin Whale,Crabeater Seal,0
Fin Whale,Antarctic Fur Seal,0
Fin Whale,Southern Elephant Seal,0
Fin Whale,Sperm Whale,0
Fin Whale,Blue Whale,0
Fin Whale,Fin Whale,0
Fin Whale,Minke Whale,0
Fin Whale,Humpback Whale,0
Fin Whale,Emperor Penguin,0
Fin Whale,Gentoo Penguin,0
Fin Whale,Chinstrap Penguin,0
Fin Whale,Adelie Penguin,0
Fin Whale,Macaroni Penguin,0
Fin Whale,Flying Birds,0
Fin Whale,Salps,0
Minke Whale,Cephalopods,0
Minke Whale,Myctophids,0
Minke Whale,On-shelf fish,0
Minke Whale,Notothenia rossii,0
Minke Whale,Champsocephalus gunnari,0
Minke Whale,Gobionotothen gibberifrons,0
Minke Whale,Antarctic Krill,0
Minke Whale,Other Euphausiids,0
Minke Whale,Killer Whale,0.01
Minke Whale,Leopard Seal,0
Minke Whale,Weddell Seal,0
Minke Whale,Crabeater Seal,0
Minke Whale,Antarctic Fur Seal,0
Minke Whale,Southern Elephant Seal,0
Minke Whale,Sperm Whale,0
Minke Whale,Blue Whale,0
Minke Whale,Fin Whale,0
Minke Whale,Minke Whale,0
Minke Whale,Humpback Whale,0
Minke Whale,Emperor Penguin,0
Minke Whale,Gentoo Penguin,0
Minke Whale,Chinstrap Penguin,0
Minke Whale,Adelie Penguin,0
Minke Whale,Macaroni Penguin,0
Minke Whale,Flying Birds,0
Minke Whale,Salps,0
Humpback Whale,Cephalopods,0
Humpback Whale,Myctophids,0
Humpback Whale,On-shelf fish,0
Humpback Whale,Notothenia rossii,0
Humpback Whale,Champsocephalus gunnari,0
Humpback Whale,Gobionotothen gibberifrons,0
Humpback Whale,Antarctic Krill,0
Humpback Whale,Other Euphausiids,0
Humpback Whale,Killer Whale,0.01
Humpback Whale,Leopard Seal,0
Humpback Whale,Weddell Seal,0
Humpback Whale,Crabeater Seal,0
Humpback Whale,Antarctic Fur Seal,0
Humpback Whale,Southern Elephant Seal,0
Humpback Whale,Sperm Whale,0
Humpback Whale,Blue Whale,0
Humpback Whale,Fin Whale,0
Humpback Whale,Minke Whale,0
Humpback Whale,Humpback Whale,0
Humpback Whale,Emperor Penguin,0
Humpback Whale,Gentoo Penguin,0
Humpback Whale,Chinstrap Penguin,0
Humpback Whale,Adelie Penguin,0
Humpback Whale,Macaroni Penguin,0
Humpback Whale,Flying Birds,0
Humpback Whale,Salps,0
Emperor Penguin,Cephalopods,0
Emperor Penguin,Myctophids,0
Emperor Penguin,On-shelf fish,0
Emperor Penguin,Notothenia rossii,0
Emperor Penguin,Champsocephalus gunnari,0
Emperor Penguin,Gobionotothen gibberifrons,0
Emperor Penguin,Antarctic Krill,0
Emperor Penguin,Other Euphausiids,0
Emperor Penguin,Killer Whale,1e-5
Emperor Penguin,Leopard Seal,0
Emperor Penguin,Weddell Seal,0
Emperor Penguin,Crabeater Seal,0
Emperor Penguin,Antarctic Fur Seal,0
Emperor Penguin,Southern Elephant Seal,0
Emperor Penguin,Sperm Whale,0
Emperor Penguin,Blue Whale,0
Emperor Penguin,Fin Whale,0
Emperor Penguin,Minke Whale,0
Emperor Penguin,Humpback Whale,0
Emperor Penguin,Emperor Penguin,0
Emperor Penguin,Gentoo Penguin,0
Emperor Penguin,Chinstrap Penguin,0
Emperor Penguin,Adelie Penguin,0
Emperor Penguin,Macaroni Penguin,0
Emperor Penguin,Flying Birds,0
Emperor Penguin,Salps,0
Gentoo Penguin,Cephalopods,0
Gentoo Penguin,Myctophids,0
Gentoo Penguin,On-shelf fish,0
Gentoo Penguin,Notothenia rossii,0
Gentoo Penguin,Champsocephalus gunnari,0
Gentoo Penguin,Gobionotothen gibberifrons,0
Gentoo Penguin,Antarctic Krill,0
Gentoo Penguin,Other Euphausiids,0
Gentoo Penguin,Killer Whale,0.002
Gentoo Penguin,Leopard Seal,0.001
Gentoo Penguin,Weddell Seal,0
Gentoo Penguin,Crabeater Seal,0
Gentoo Penguin,Antarctic Fur Seal,0.01
Gentoo Penguin,Southern Elephant Seal,0
Gentoo Penguin,Sperm Whale,0
Gentoo Penguin,Blue Whale,0
Gentoo Penguin,Fin Whale,0
Gentoo Penguin,Minke Whale,0
Gentoo Penguin,Humpback Whale,0
Gentoo Penguin,Emperor Penguin,0
Gentoo Penguin,Gentoo Penguin,0
Gentoo Penguin,Chinstrap Penguin,0
Gentoo Penguin,Adelie Penguin,0
Gentoo Penguin,Macaroni Penguin,0
Gentoo Penguin,Flying Birds,0
Gentoo Penguin,Salps,0
Chinstrap Penguin,Cephalopods,0
Chinstrap Penguin,Myctophids,0
Chinstrap Penguin,On-shelf fish,0
Chinstrap Penguin,Notothenia rossii,0
Chinstrap Penguin,Champsocephalus gunnari,0
Chinstrap Penguin,Gobionotothen gibberifrons,0
Chinstrap Penguin,Antarctic Krill,0
Chinstrap Penguin,Other Euphausiids,0
Chinstrap Penguin,Killer Whale,0.02
Chinstrap Penguin,Leopard Seal,0.03
Chinstrap Penguin,Weddell Seal,0
Chinstrap Penguin,Crabeater Seal,0
Chinstrap Penguin,Antarctic Fur Seal,0.03
